date,used slots,sys slots
2012-09-04 10:51:00,1296,2880
2012-09-04 11:51:00,1296,2880
2012-09-04 12:51:00,1296,2880
2012-09-04 13:51:00,1298,2880
2012-09-04 14:51:00,1302,2880
2012-09-04 15:51:00,1296,2880
2012-09-04 16:51:00,1284,2880
2012-09-04 17:51:00,1264,2880
2012-09-04 18:51:00,1564,2880
2012-09-04 19:51:00,1639,2880
2012-09-04 20:51:00,1639,2880
2012-09-04 21:51:00,1639,2880
2012-09-04 22:51:00,1639,2880
2012-09-04 23:51:00,1639,2880
2012-09-05 00:51:00,1639,2880
2012-09-05 01:51:00,1639,2880
2012-09-05 02:51:00,1639,2880
2012-09-05 03:51:00,1639,2880
2012-09-05 04:51:00,1639,2880
2012-09-05 05:51:00,1639,2880
2012-09-05 06:51:00,1639,2880
2012-09-05 07:51:00,1639,2880
2012-09-05 08:51:00,1639,2880
2012-09-05 09:51:00,1639,2880
2012-09-05 10:51:00,1580,2880
2012-09-05 11:51:00,1575,2880
2012-09-05 12:51:00,1575,2880
2012-09-05 13:51:00,1587,2880
2012-09-05 14:51:00,1575,2880
2012-09-05 15:51:00,1575,2880
2012-09-05 16:51:00,1575,2880
2012-09-05 17:51:00,1575,2880
2012-09-05 18:51:00,1575,2880
2012-09-05 19:51:00,1575,2880
2012-09-05 20:51:00,1575,2880
2012-09-05 21:51:00,1607,2880
2012-09-05 22:51:00,1640,2880
2012-09-05 23:51:00,1640,2880
2012-09-06 00:51:00,1640,2880
2012-09-06 01:51:00,1640,2880
2012-09-06 02:51:00,1640,2880
2012-09-06 03:51:00,1640,2880
2012-09-06 04:51:00,1640,2880
2012-09-06 05:51:00,1640,2880
2012-09-06 06:51:00,1640,2880
2012-09-06 07:51:00,1640,2880
2012-09-06 08:51:00,1640,2880
2012-09-06 09:51:00,1640,2880
2012-09-06 10:51:00,1640,2880
2012-09-06 11:51:00,1640,2880
2012-09-06 12:51:00,1640,2880
2012-09-06 13:51:00,1640,2880
2012-09-06 14:51:00,1640,2880
2012-09-06 15:51:00,1530,2880
2012-09-06 16:51:00,1201,2880
2012-09-06 17:51:00,1700,2880
2012-09-06 18:51:00,2800,2880
2012-09-06 19:51:00,2800,2880
2012-09-06 20:51:00,2800,2880
2012-09-06 21:51:00,2800,2880
2012-09-06 22:51:00,2800,2880
2012-09-06 23:51:00,2800,2880
2012-09-07 00:51:00,2800,2880
2012-09-07 01:51:00,2800,2880
2012-09-07 02:51:00,2800,2880
2012-09-07 03:51:00,2800,2880
2012-09-07 04:51:00,2800,2880
2012-09-07 05:51:00,2800,2880
2012-09-07 06:51:00,2800,2880
2012-09-07 07:51:00,2800,2880
2012-09-07 08:51:00,2800,2880
2012-09-07 09:51:00,2040,2880
2012-09-07 10:51:00,2800,2880
2012-09-07 11:51:00,2760,2880
2012-09-07 12:51:00,2560,2880
2012-09-07 13:51:00,2800,2880
2012-09-07 14:51:00,2800,2880
2012-09-07 15:51:00,2800,2880
2012-09-07 16:51:00,2800,2880
2012-09-07 17:51:00,2800,2880
2012-09-07 18:51:00,2800,2880
2012-09-07 19:51:00,2800,2880
2012-09-07 20:51:00,2800,2880
2012-09-07 21:51:00,2800,2880
2012-09-07 22:51:00,2800,2880
2012-09-07 23:51:00,2706,2880
2012-09-08 00:51:00,2400,2880
2012-09-08 01:51:00,2400,2880
2012-09-08 02:51:00,2400,2880
2012-09-08 03:51:00,2400,2880
2012-09-08 04:51:00,2400,2880
2012-09-08 05:51:00,2400,2880
2012-09-08 06:51:00,2400,2880
2012-09-08 07:51:00,2400,2880
2012-09-08 08:51:00,2400,2880
2012-09-08 09:51:00,2400,2880
2012-09-08 10:51:00,2400,2880
2012-09-08 11:51:00,2400,2880
2012-09-08 12:51:00,2400,2880
2012-09-08 13:51:00,2400,2880
2012-09-08 14:51:00,2400,2880
2012-09-08 15:51:00,2400,2880
2012-09-08 16:51:00,2400,2880
2012-09-08 17:51:00,2400,2880
2012-09-08 18:51:00,2400,2880
2012-09-08 19:51:00,2400,2880
2012-09-08 20:51:00,2400,2880
2012-09-08 21:51:00,2400,2880
2012-09-08 22:51:00,2400,2880
2012-09-08 23:51:00,2400,2880
2012-09-09 00:51:00,2400,2880
2012-09-09 01:51:00,2400,2880
2012-09-09 02:51:00,2400,2880
2012-09-09 03:51:00,2400,2880
2012-09-09 04:51:00,2400,2880
2012-09-09 05:51:00,2400,2880
2012-09-09 06:51:00,2400,2880
2012-09-09 07:51:00,2400,2880
2012-09-09 08:51:00,2400,2880
2012-09-09 09:51:00,2400,2880
2012-09-09 10:51:00,2400,2880
2012-09-09 11:51:00,2400,2880
2012-09-09 12:51:00,2400,2880
2012-09-09 13:51:00,2400,2880
2012-09-09 14:51:00,2400,2880
2012-09-09 15:51:00,2400,2880
2012-09-09 16:51:00,2400,2880
2012-09-09 17:51:00,2400,2880
2012-09-09 18:51:00,2400,2880
2012-09-09 19:51:00,2400,2880
2012-09-09 20:51:00,2400,2880
2012-09-09 21:51:00,2400,2880
2012-09-09 22:51:00,2400,2880
2012-09-09 23:51:00,2400,2880
2012-09-10 00:51:00,2400,2880
2012-09-10 01:51:00,2400,2880
2012-09-10 02:51:00,2400,2880
2012-09-10 03:51:00,2400,2880
2012-09-10 04:51:00,2400,2880
2012-09-10 05:51:00,2400,2880
2012-09-10 06:51:00,2400,2880
2012-09-10 07:51:00,2400,2880
2012-09-10 08:51:00,2400,2880
2012-09-10 09:51:00,2400,2880
2012-09-10 10:51:00,2400,2880
2012-09-10 11:51:00,2400,2880
2012-09-10 12:51:00,2400,2880
2012-09-10 13:51:00,647,2880
2012-09-10 14:51:00,0,2880
2012-09-10 15:51:00,76,2880
2012-09-10 16:51:00,17,2880
2012-09-10 17:51:00,0,2880
2012-09-10 18:51:00,0,2880
2012-09-10 19:51:00,0,2880
2012-09-10 20:51:00,0,2880
2012-09-10 21:51:00,0,2880
2012-09-10 22:51:00,0,2880
2012-09-10 23:51:00,0,2880
2012-09-11 00:51:00,0,2880
2012-09-11 01:51:00,0,2880
2012-09-11 02:51:00,0,2880
2012-09-11 03:51:00,0,2880
2012-09-11 04:51:00,0,2880
2012-09-11 05:51:00,0,2880
2012-09-11 06:51:00,0,2880
2012-09-11 07:51:00,0,2880
2012-09-11 08:51:00,0,2880
2012-09-11 09:51:00,0,2880
2012-09-11 10:51:00,0,2880
2012-09-11 11:51:00,0,2880
2012-09-11 12:51:00,0,2880
2012-09-11 13:51:00,0,2880
2012-09-11 14:51:00,0,2880
2012-09-11 15:51:00,0,2880
2012-09-11 16:51:00,0,2880
2012-09-11 17:51:00,0,2880
2012-09-11 18:51:00,0,2880
2012-09-11 19:51:00,0,2880
2012-09-11 20:51:00,0,2880
2012-09-11 21:51:00,0,2880
2012-09-11 22:51:00,0,2880
2012-09-11 23:51:00,0,2880
2012-09-12 00:51:00,0,2880
2012-09-12 01:51:00,0,2880
2012-09-12 02:51:00,0,2880
2012-09-12 03:51:00,0,2880
2012-09-12 04:51:00,0,2880
2012-09-12 05:51:00,0,2880
2012-09-12 06:51:00,0,2880
2012-09-12 07:51:00,0,2880
2012-09-12 08:51:00,0,2880
2012-09-12 09:51:00,0,2880
2012-09-12 10:51:00,0,2880
2012-09-12 11:51:00,0,2880
2012-09-12 12:51:00,0,2880
2012-09-12 13:51:00,0,2880
2012-09-12 14:51:00,0,2880
2012-09-12 15:51:00,0,2880
2012-09-12 16:51:00,1,2880
2012-09-12 17:51:00,1,2880
2012-09-12 18:51:00,2,2880
2012-09-12 19:51:00,2,2880
2012-09-12 20:51:00,2,2880
2012-09-12 21:51:00,2,2880
2012-09-12 22:51:00,2,2880
2012-09-12 23:51:00,2,2880
2012-09-13 00:51:00,2,2880
2012-09-13 01:51:00,2,2880
2012-09-13 02:51:00,2,2880
2012-09-13 03:51:00,2,2880
2012-09-13 04:51:00,2,2880
2012-09-13 05:51:00,2,2880
2012-09-13 06:51:00,2,2880
2012-09-13 07:51:00,2,2880
2012-09-13 08:51:00,2,2880
2012-09-13 09:51:00,1,2880
2012-09-13 10:51:00,1,2880
2012-09-13 11:51:00,28,2880
2012-09-13 12:51:00,21,2880
2012-09-13 13:51:00,341,2880
2012-09-13 14:51:00,44,2880
2012-09-13 15:51:00,1,2880
2012-09-13 16:51:00,0,2880
2012-09-13 17:51:00,4,2880
2012-09-13 18:51:00,6,2880
2012-09-13 19:51:00,6,2880
2012-09-13 20:51:00,6,2880
2012-09-13 21:51:00,6,2880
2012-09-13 22:51:00,5,2880
2012-09-13 23:51:00,6,2880
2012-09-14 00:51:00,5,2880
2012-09-14 01:51:00,5,2880
2012-09-14 02:51:00,5,2880
2012-09-14 03:51:00,5,2880
2012-09-14 04:51:00,5,2880
2012-09-14 05:51:00,5,2880
2012-09-14 06:51:00,4,2880
2012-09-14 07:51:00,3,2880
2012-09-14 08:51:00,3,2880
2012-09-14 09:51:00,3,2880
2012-09-14 10:51:00,3,2880
2012-09-14 11:51:00,40,2880
2012-09-14 12:51:00,289,2880
2012-09-14 13:51:00,1512,2880
2012-09-14 14:51:00,1785,2880
2012-09-14 15:51:00,2014,2880
2012-09-14 16:51:00,2012,2880
2012-09-14 17:51:00,2013,2880
2012-09-14 18:51:00,2008,2880
2012-09-14 19:51:00,2005,2880
2012-09-14 20:51:00,2005,2880
2012-09-14 21:51:00,2005,2880
2012-09-14 22:51:00,2004,2880
2012-09-14 23:51:00,2004,2880
2012-09-15 00:51:00,2004,2880
2012-09-15 01:51:00,2002,2880
2012-09-15 02:51:00,2001,2880
2012-09-15 03:51:00,2001,2880
2012-09-15 04:51:00,2001,2880
2012-09-15 05:51:00,2001,2880
2012-09-15 06:51:00,2001,2880
2012-09-15 07:51:00,2001,2880
2012-09-15 08:51:00,2000,2880
2012-09-15 09:51:00,2000,2880
2012-09-15 10:51:00,2000,2880
2012-09-15 11:51:00,2000,2880
2012-09-15 12:51:00,1841,2880
2012-09-15 13:51:00,1500,2880
2012-09-15 14:51:00,1500,2880
2012-09-15 15:51:00,1500,2880
